1. agencias		Comentário: Cadastro das agências bancárias onde os funcionários podem ter uma conta.			
2	fkmarcaveiculo	integer	NI	Sim	fk [fk1modeloveiculo]=[fkmarcaveiculo] apontando para a tabela veiculosmarcas[pkmarcaveiculo] com o código da marca de veiculos feitos por fabricantes.
3	txdescricaomodelo	character varying	250	Sim	Texto com a descrição do modelo
4	aotipocombustivel	character	1	Sim	Atributo Operacional: tipo de combustível Álcool, Gasolina, Diesel, GáS ou Flex
5	dtcadmodeloveiculo	date	NI	Sim	Data de geração do registro.
					
106. veiculostipos		Comentário: Cadastro dos Tipos de Veículos			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktipoveiculo	smallint	NI	Sim	pk da Tabela [pktipoveiculo]=[pktipoveiculo].
2	txdescricaotpveiculo	character varying	250	Sim	Texto descrevendo o tipo de veiculo (rodoviário, náutico, aéreo, etc]
3	dtcadtipoveiculo	date	NI	Sim	Data de geração do registro.
					
107. viagens		Comentário: Cadastro de viagens feitas pelos ônibus			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkviagem	integer	NI	Sim	pk da Tabela [pkviagem]=[pkviagem].
2	fkrota	integer	NI	Nao	fk [fk1viagem]=[fkrota] apontando para a tabela rotasviarias[pkrota] com o código da rota viária da viagem.
3	dtsaidaviagem	date	NI	Sim	Data de realização da viagem
4	hrsaida	time without time zone	NI	Sim	Hora de saída da viagem.
5	dtchegadaviagem	date	NI	Sim	Data prevista de chegada da viagem
6	hrchegadaprev	time without time zone	NI	Nao	Hora de chegada prevista ao destino da viagem.
7	dtcadviagem	date	NI	Nao	Data de geração do registro.
					
